iter	Passed	Remaining
0	30	12958
1	56	12103
2	88	12591
3	125	13402
4	169	14478
5	222	15775
6	267	16220
7	304	16081
8	340	15947
9	388	16343
10	427	16317
11	464	16223
12	509	16385
13	556	16587
14	589	16352
15	625	16234
16	664	16176
17	701	16099
18	743	16118
19	781	16055
20	819	15995
21	854	15884
22	887	15749
23	920	15615
24	956	15531
25	994	15489
26	1036	15503
27	1075	15476
28	1117	15497
29	1156	15452
30	1189	15347
31	1223	15253
32	1254	15128
33	1288	15046
34	1325	15001
35	1364	14969
36	1404	14953
37	1443	14925
38	1480	14877
39	1515	14815
40	1554	14788
41	1588	14710
42	1628	14696
43	1669	14681
44	1705	14629
45	1743	14595
46	1787	14603
47	1830	14602
48	1872	14599
49	1916	14604
50	1953	14555
51	1987	14488
52	2021	14420
53	2066	14426
54	2103	14380
55	2142	14346
56	2186	14344
57	2225	14315
58	2264	14278
59	2295	14196
60	2330	14134
61	2362	14059
62	2407	14062
63	2444	14018
64	2481	13972
65	2520	13938
66	2557	13894
67	2592	13838
68	2627	13784
69	2665	13747
70	2702	13705
71	2740	13662
72	2776	13618
73	2816	13587
74	2852	13541
75	2892	13510
76	2931	13475
77	2970	13442
78	3006	13394
79	3039	13333
80	3072	13275
81	3111	13243
82	3152	13216
83	3193	13193
84	3237	13180
85	3278	13151
86	3312	13096
87	3353	13072
88	3401	13069
89	3440	13037
90	3482	13011
91	3528	13001
92	3580	13011
93	3613	12954
94	3649	12907
95	3693	12887
96	3730	12845
97	3770	12811
98	3803	12756
99	3837	12701
100	3875	12663
101	3914	12627
102	3957	12601
103	3995	12564
104	4035	12529
105	4066	12467
106	4098	12410
107	4132	12358
108	4172	12325
109	4210	12288
110	4247	12244
111	4283	12199
112	4323	12167
113	4356	12113
114	4380	12036
115	4418	11997
116	4453	11953
117	4491	11914
118	4529	11876
119	4564	11830
120	4602	11792
121	4641	11757
122	4677	11712
123	4723	11695
124	4760	11653
125	4803	11627
126	4844	11596
127	4890	11575
128	4926	11532
129	4961	11488
130	5005	11462
131	5054	11450
132	5090	11404
133	5122	11353
134	5155	11304
135	5194	11268
136	5231	11227
137	5265	11178
138	5301	11137
139	5339	11097
140	5385	11075
141	5431	11053
142	5477	11030
